ISO_3_CODE,COUNTRYNAME,WHO_REGION,YEAR,VACCINECODE,VACCINE_DESCRIPTION,SCHEDULEROUNDS,TARGETPOP,TARGETPOP_DESCRIPTION,GEOAREA,AGEADMINISTERED,SOURCECOMMENT
DEU,Germany,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,>=Y18,"1) Td booster vaccination every 10 years. 2) Next due Td vaccination requires one dose as a Tdap or, in the case of a respective indication, as a Tdap-IPV combination vaccination."
DEU,Germany,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",2,ADULTS,Adults,NATIONAL,+Y10,"1) One dose of Tdap for all adults instead of next Td booster. 2) One dose of Tdap for pregnant women at the beginning of the 3rd trimester (from the 28th week of pregnancy). In case of an increased probability for premature birth, vaccination should be administered during the 2nd trimester. This vaccination should be administered in every pregnancy, regardless of the interval to previously administered pertussis vaccinations."
DEU,Germany,EURO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,1,ADULTS,Adults,NATIONAL,>=Y60,"Two doses for 1) all adults >= 60 years of age. 2) adults >= 50 years of age in case of increased health risk resulting from an underlying disease, for example: congenital or acquired immunodeficiency or immunosuppression; HIV infection; Rheumatoid arthritis; Systemic lupus erythematosus; Chronic inflammatory bowel disease; Chronic obstructive pulmonary disease or bronchial asthma; Chronic renal insufficiency; Diabetes mellitus."
DEU,Germany,EURO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,2,ADULTS,Adults,NATIONAL,>=Y60,"Two doses for 1) all adults >= 60 years of age. 2) adults >= 50 years of age in case of increased health risk resulting from an underlying disease, for example: congenital or acquired immunodeficiency or immunosuppression; HIV infection; Rheumatoid arthritis; Systemic lupus erythematosus; Chronic inflammatory bowel disease; Chronic obstructive pulmonary disease or bronchial asthma; Chronic renal insufficiency; Diabetes mellitus."
DJI,Djibouti,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,Femmes enceintes
DJI,Djibouti,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,Femmes enceintes
DJI,Djibouti,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,Femmes enceintes
DJI,Djibouti,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,Femmes enceintes
DJI,Djibouti,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,Femmes enceintes
DMA,Dominica,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,1,B_2YL_W,General/routine,NATIONAL,M18,Children 18M and 3 years
DMA,Dominica,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,2,B_CHILD_F,General/routine,NATIONAL,Y3,Children 18M and 3 years
DMA,Dominica,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older adults 65 years and older
DMA,Dominica,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,Unimmunized adults including pregnant women
DMA,Dominica,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,Unimmunized adults including pregnant women
DMA,Dominica,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M5,Unimmunized adults including pregnant women
DMA,Dominica,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6,B_ADO_W,General/routine,NATIONAL,Y10-Y12,"Students moving on to high school in grade 6; and all other persons if not covered dose one, +W4-W6, and +M6"
DMA,Dominica,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,Unimmunized adults including pregnant women
DMA,Dominica,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,Unimmunized adults including pregnant women
DMA,Dominica,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M5,Unimmunized adults including pregnant women
DOM,Dominican Republic,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y9-Y14,Sólo vacunación en niñas de 9 a 14 años.
DOM,Dominican Republic,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,"Para niños que no tienen ninguna dosis de vacuna o no han completado su esquema, mujeres embarazadas para completar o iniciar esquema recomendado, dosis de refuerzo cada 10 años."
DOM,Dominican Republic,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,"Para niños que no tienen ninguna dosis de vacuna o no han completado su esquema, mujeres embarazadas para completar o iniciar esquema recomendado, dosis de refuerzo cada 10 años."
DOM,Dominican Republic,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,"Para niños que no tienen ninguna dosis de vacuna o no han completado su esquema, mujeres embarazadas para completar o iniciar esquema recomendado, dosis de refuerzo cada 10 años."
DOM,Dominican Republic,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,"Para niños que no tienen ninguna dosis de vacuna o no han completado su esquema, mujeres embarazadas para completar o iniciar esquema recomendado, dosis de refuerzo cada 10 años."
DOM,Dominican Republic,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6,ADULTS,Adults,NATIONAL,+Y10,"Para niños que no tienen ninguna dosis de vacuna o no han completado su esquema, mujeres embarazadas para completar o iniciar esquema recomendado, dosis de refuerzo cada 10 años."
DOM,Dominican Republic,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,"Para niños que no tienen ninguna dosis de vacuna o no han completado su esquema, mujeres embarazadas para completar o iniciar esquema recomendado, dosis de refuerzo cada 10 años."
DOM,Dominican Republic,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,"Para niños que no tienen ninguna dosis de vacuna o no han completado su esquema, mujeres embarazadas para completar o iniciar esquema recomendado, dosis de refuerzo cada 10 años."
DOM,Dominican Republic,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,"Para niños que no tienen ninguna dosis de vacuna o no han completado su esquema, mujeres embarazadas para completar o iniciar esquema recomendado, dosis de refuerzo cada 10 años."
ECU,Ecuador,AMRO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y9,niñas
ECU,Ecuador,AMRO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,niñas
ECU,Ecuador,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons >=65 years
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,"Población de 16 a 49 años de edad, incluyendo embarazadas, según esquema de vacunación"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
ECU,Ecuador,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,"Población de 16 a 49 años de edad, incluyendo embarazadas, segun esquema de vacunacion"
EGY,Egypt,EMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons
EGY,Egypt,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,B_CHILD_W,General/routine,NATIONAL,Y7-Y8,school children
EGY,Egypt,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6,B_ADO_W,General/routine,NATIONAL,Y9-Y10,school children
EGY,Egypt,EMRO,2023,TT,TT (Tetanus toxoid) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,women in childbearning age
EGY,Egypt,EMRO,2023,TT,TT (Tetanus toxoid) vaccine,2,ADULTS,Adults,NATIONAL,+M1,women in childbearning age
EGY,Egypt,EMRO,2023,TT,TT (Tetanus toxoid) vaccine,3,ADULTS,Adults,NATIONAL,+M6,women in childbearning age
EGY,Egypt,EMRO,2023,TT,TT (Tetanus toxoid) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,women in childbearning age
EGY,Egypt,EMRO,2023,TT,TT (Tetanus toxoid) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,women in childbearning age
ERI,Eritrea,AFRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y9,Females 9 years - 14 years
ERI,Eritrea,AFRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,Females 9 years - 14 years
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,Females 14-45 years (women of child bearing age)
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,Females 14-45 years (women of child bearing age)
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,Females 14-45 years (women of child bearing age)
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,Females 14-45 years (women of child bearing age)
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,Females 14-45 years (women of child bearing age)
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,"Td vaccine is administered to specific target groups, that is female adolescents, and adults (WCBA) including pregnant women on a routine basis. Most of the target groups receive and complete their Td vaccination at school and for those out school females they are welcomed and given vaccination at health facilities or during outreach visits to communities. Moreover pregnant women are vaccinated during antenatal visits if they had not started or completed their Td vaccination status early or before they get pregnant."
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,"Td vaccine is administered to specific target groups, that is female adolescents, and adults (WCBA) including pregnant women on a routine basis. Most of the target groups receive and complete their Td vaccination at school and for those out school females they are welcomed and given vaccination at health facilities or during outreach visits to communities. Moreover pregnant women are vaccinated during antenatal visits if they had not started or completed their Td vaccination status early or before they get pregnant."
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,"Td vaccine is administered to specific target groups, that is female adolescents, and adults (WCBA) including pregnant women on a routine basis. Most of the target groups receive and complete their Td vaccination at school and for those out school females they are welcomed and given vaccination at health facilities or during outreach visits to communities. Moreover pregnant women are vaccinated during antenatal visits if they had not started or completed their Td vaccination status early or before they get pregnant."
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,"Td vaccine is administered to specific target groups, that is female adolescents, and adults (WCBA) including pregnant women on a routine basis. Most of the target groups receive and complete their Td vaccination at school and for those out school females they are welcomed and given vaccination at health facilities or during outreach visits to communities. Moreover pregnant women are vaccinated during antenatal visits if they had not started or completed their Td vaccination status early or before they get pregnant."
ERI,Eritrea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,"Td vaccine is administered to specific target groups, that is female adolescents, and adults (WCBA) including pregnant women on a routine basis. Most of the target groups receive and complete their Td vaccination at school and for those out school females they are welcomed and given vaccination at health facilities or during outreach visits to communities. Moreover pregnant women are vaccinated during antenatal visits if they had not started or completed their Td vaccination status early or before they get pregnant."
ESP,Spain,EURO,2023,DTAPHEPBIPV,DTaP-HepB-IPV (acellular) vaccine,4,B_CHILD_W,General/routine,SUBNATIONAL,Y6,Cohorts (prior to 2016) left from the old vaccination schedule (the current one is from 2016)
ESP,Spain,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y12,"2, 4, 9 valent vaccines administered; females only at 12 yrs or 6th grade (regions that immunize at school)"
ESP,Spain,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,"2, 4, 9 valent vaccines administered; females only at 12 yrs or 6th grade (regions that immunize at school)"
ESP,Spain,EURO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,1,ADULTS,Adults,NATIONAL,Y65-Y80,65 years old; 2nd dose administered +6 months at lease
ESP,Spain,EURO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,2,ADULTS,Adults,NATIONAL,+M6,65 years old; 2nd dose administered +6 months at lease
EST,Estonia,EURO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,Y12,females; catch-up for 2021-2023
EST,Estonia,EURO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y12,females; catch-up for 2021-2023
EST,Estonia,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons >=65 years
ETH,Ethiopia,AFRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y9,Females
ETH,Ethiopia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,CBAW (15-49Y)
ETH,Ethiopia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,CBAW (15-49Y)
ETH,Ethiopia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,CBAW (15-49Y)
ETH,Ethiopia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,CBAW (15-49Y)
ETH,Ethiopia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+W4,CBAW (15-49Y)
FIN,Finland,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,Y45,"Boosters at Y45, Y65, and >65 years every 10th year"
FIN,Finland,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,Y65,"Boosters at Y45, Y65, and >65 years every 10th year"
FIN,Finland,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+Y10,"Boosters at Y45, Y65, and >65 years every 10th year"
FJI,Fiji,WPRO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y8-Y13,Females; class 8
FJI,Fiji,WPRO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,Females; class 8
FRA,France,EURO,2023,PPV23,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,1,ADULTS,Adults,NATIONAL,Y65,and risk groups between 2-65 years
FSM,Micronesia (Federated States of),WPRO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y10-Y11,"Target to only female only those in grade school (5 graders in primary schools both in public and private) girls ages 10 and 11 year old, those who sign consent form only in participating schools across the country"
FSM,Micronesia (Federated States of),WPRO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,"Target to only female only those in grade school (5 graders in primary schools both in public and private) girls ages 10 and 11 year old, those who sign consent form only in participating schools across the country"
GAB,Gabon,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,Femmes enceintes
GAB,Gabon,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,Femmes enceintes
GAB,Gabon,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,Femmes enceintes
GAB,Gabon,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,Femmes enceintes
GAB,Gabon,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,Femmes enceintes
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,ADULTS,Adults,NATIONAL,Y25-Y45,Administered to both females and males. Single dose given at Y12-Y13.  Catch-up for eligible young people available up to Y25; For men only: 1 dose for immunocompetent GBMSM aged less than 25 years from 1 Sept 23; 2 doses for Immunocompetent GBMSM aged 25 up to and including 45 years. 3 doses for immunosuppressed and or know to be HIV-positive GBMSM aged 25 years up to and including 45 years.
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2,ADULTS,Adults,NATIONAL,Y25-Y45,Administered to both females and males. Single dose given at Y12-Y13.  Catch-up for eligible young people available up to Y25; For men only: 1 dose for immunocompetent GBMSM aged less than 25 years from 1 Sept 23; 2 doses for Immunocompetent GBMSM aged 25 up to and including 45 years. 3 doses for immunosuppressed and or know to be HIV-positive GBMSM aged 25 years up to and including 45 years.
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2023,PPV23,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,1,ADULTS,Adults,NATIONAL,>Y65,"Risk groups Y2-Y65; and all persons >Y65. PCV13 in adults is limited to those with  ""severe immunocompromise including bone marrow transplant patients, patients with acute and chronic leukaemia, multiple myeloma or genetic disorders affecting the immune system (such as IRAK-4, NEMO) ”. See page 8 of the pneumococcal chapter of the Green Book: https://www.gov.uk/government/publications/pneumococcal-the-green-book-chapter-25"
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,1,ADULTS,Adults,NATIONAL,Y65,"Programme expansion from Sept 23 and move to 2 doses of Shingrix vaccine. Severely immunocompromised eligible from Y50 with 2nd dose after 8 weeks. Immunocompetent cohort - reduction from 70 to 60 years of age. Phased implementation in age reduction over 10 year period. Phase 1: 1 September 2023 to 31 August 2028, individuals turning 70 and 65 on or after 1 Sept 23. Phase 2: 1 Sept 2023 to 31 August 2033, individuals turning 65 and 60 years of age. Immunocompetent schedule: 2 doses with 2nd dose 6 to 12 months after first."
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,2,ADULTS,Adults,NATIONAL,+M6-M12,"Programme expansion from Sept 23 and move to 2 doses of Shingrix vaccine. Severely immunocompromised eligible from Y50 with 2nd dose after 8 weeks. Immunocompetent cohort - reduction from 70 to 60 years of age. Phased implementation in age reduction over 10 year period. Phase 1: 1 September 2023 to 31 August 2028, individuals turning 70 and 65 on or after 1 Sept 23. Phase 2: 1 Sept 2023 to 31 August 2033, individuals turning 65 and 60 years of age. Immunocompetent schedule: 2 doses with 2nd dose 6 to 12 months after first."
GEO,Georgia,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons aged 60 and older
GEO,Georgia,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1,ADULTS,Adults,NATIONAL,>Y65,for vaccination against pneumococcal infection of persons aged 65 years and older and beneficiaries of day-night specialized institutions (shelters) for the elderly with chronic diseases (hypertension; ischemic heart disease; diabetes; pcode; asthma and other forms of respiratory failure);
GHA,Ghana,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,15-49 years
GHA,Ghana,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,15-49 years
GHA,Ghana,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,15-49 years
GHA,Ghana,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,15-49 years
GHA,Ghana,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,15-49 years
GIN,Guinea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,1st contact grossesse
GIN,Guinea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,1st contact grossesse
GIN,Guinea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,1st contact grossesse
GIN,Guinea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
GIN,Guinea,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
GMB,Gambia,AFRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y9-Y14,"from October 2019: females; grade 3, grade 4-8 multi-cohort, 9-14 years out of school"
GMB,Gambia,AFRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+Y1,"from October 2019: females; grade 3, grade 4-8 multi-cohort, 9-14 years out of school"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,"Y15-Y49, pregnant and post-partum mothers"
GMB,Gambia,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,"Y15-Y49, pregnant and post-partum mothers"
GNB,Guinea-Bissau,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,femmes en âge de procréer - 1er contact grossesse
GNB,Guinea-Bissau,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,femmes en âge de procréer - 1er contact grossesse
